Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
434,447,2,1800,2100,6,1
434,447,2,1330,1600,4,1
435,429,1,900,2200,3,1
435,429,2,900,2200,3,1
435,429,3,900,2200,3,1
435,429,4,900,2200,3,1
435,429,5,900,2200,3,1
437,446,1,900,2200,3,1
437,446,2,900,2200,3,1
437,446,3,900,2200,3,1
437,446,4,900,2200,3,1
437,446,5,900,2200,3,1
442,430,1,900,2200,1,1
442,430,2,900,2200,1,1
442,430,3,900,2200,1,1
442,430,4,900,2200,1,1
442,430,5,900,2200,1,1
442,444,1,900,2200,3,1
442,444,2,900,2200,3,1
442,444,3,900,2200,3,1
442,444,4,900,2200,3,1
442,444,5,900,2200,3,1
443,431,1,900,2200,1,1
443,431,2,900,2200,1,1
443,431,3,900,2200,1,1
443,431,4,900,2200,1,1
443,431,5,900,2200,1,1
444,432,1,900,2200,1,1
444,432,2,900,2200,1,1
444,432,3,900,2200,1,1
444,432,4,900,2200,1,1
444,432,5,900,2200,1,1
444,442,1,900,2200,3,1
444,442,2,900,2200,3,1
444,442,3,900,2200,3,1
444,442,4,900,2200,3,1
444,442,5,900,2200,3,1
445,440,1,900,2200,3,1
445,440,2,900,2200,3,1
445,440,3,900,2200,3,1
445,440,4,900,2200,3,1
445,440,5,900,2200,3,1
446,433,1,900,2200,1,1
446,433,2,900,2200,1,1
446,433,3,900,2200,1,1
446,433,4,900,2200,1,1
446,433,5,900,2200,1,1
447,434,1,900,2200,1,1
447,434,2,900,2200,1,1
447,434,3,900,2200,1,1
447,434,4,900,2200,1,1
447,434,5,900,2200,1,1
448,439,1,900,2200,3,1
448,439,2,900,2200,3,1
448,439,3,900,2200,3,1
448,439,4,900,2200,3,1
448,439,5,900,2200,3,1
449,435,1,900,2200,1,1
449,435,2,900,2200,1,1
449,435,3,900,2200,1,1
449,435,4,900,2200,1,1
449,435,5,900,2200,1,1
450,436,1,900,2200,1,1
450,436,2,900,2200,1,1
450,436,3,900,2200,1,1
450,436,4,900,2200,1,1
450,436,5,900,2200,1,1
451,437,1,900,2200,1,1
451,437,2,900,2200,1,1
451,437,3,900,2200,1,1
451,437,4,900,2200,1,1
451,437,5,900,2200,1,1
503,513,1,900,2200,3,1
503,513,2,900,2200,3,1
503,513,3,900,2200,3,1
503,513,4,900,2200,3,1
503,513,5,900,2200,3,1
504,512,5,1300,1800,11,1
504,512,3,1400,1700,3,1
504,512,2,1800,2100,5,1
505,514,1,900,2200,2,1
505,514,2,900,2200,2,1
505,514,3,900,2200,2,1
505,514,4,900,2200,2,1
505,514,5,900,2200,2,1
506,515,1,900,2200,3,1
506,515,2,900,2200,3,1
506,515,3,900,2200,3,1
506,515,4,900,2200,3,1
506,515,5,900,2200,3,1
507,516,1,900,2200,3,1
507,516,2,900,2200,3,1
507,516,3,900,2200,3,1
507,516,4,900,2200,3,1
507,516,5,900,2200,3,1
508,517,1,900,2200,3,1
508,517,2,900,2200,3,1
508,517,3,900,2200,3,1
508,517,4,900,2200,3,1
508,517,5,900,2200,3,1
509,508,5,1600,1940,19,1
509,508,1,1430,1530,6,1
509,508,4,1430,1530,6,1
509,508,3,1600,2030,9,1
509,508,1,1200,1400,18,1
509,508,3,1200,1400,18,1
509,508,4,1900,2200,6,1
509,508,1,1900,2200,8,1
509,518,1,900,2200,3,1
509,518,2,900,2200,3,1
509,518,3,900,2200,3,1
509,518,4,900,2200,3,1
509,518,5,900,2200,3,1
510,519,1,900,2200,1,1
510,519,2,900,2200,1,1
